NAME,ETHNICITY,NATIONALITY,GENDER,DATE_OF_BIRTH,SOCIAL_IMPACT,WEALTH,IMG_FILE,DESCRIPTION,TAGS
Brian Redban,W,,,,,,,,
Ari Shaffir,J,,,,,,,,
John Heffron,W,,,,,,,,
Tom Segura,W,,,,,,,,
Joe Rogan,W,,,,,,,,
Eddie Bravo,H,,,,,,,,
Joey Diaz,H,,,,,,,,
Bill Burr,W,,,,,,,,
Jason “Mayhem” Miller,W,,,,,,,,
Bryan Callen,W,,,,,,,,
Dane Cook,W,,,,,,,,
Doug Benson,W,,,,,,,,
Ricky Schroder,W,,,,,,,,
Doug Stanhope,W,,,,,,,,
Todd McCormick,W,,,,,,,,
Tom Green,W,,,,,,,,
Aubrey Marcus,W,,,,,,,,
Michael Schiavello,W,,,,,,,,
Duncan Trussel,J,,,,,,,,
Steve Rannazzisi,W,,,,,,,,
Freddy Lockhart,B,,,,,,,,
Johnny Pemberton,W,,,,,,,,
Ralphie May,W,,,,,,,,
Cliffy B,W,,,,,,,,
Russell Peters,I,,,,,,,,
Hal Sparks,W,,,,,,,,
Iliza Shlesinger,J,,,,,,,,
Brendon Walsh,W,,,,,,,,
Al Madrigal,H,,,,,,,,
Bert Kreischer,W,,,,,,,,
Allison Sciulla,W,,,,,,,,
Bobby Lee,A,,,,,,,,
Eddie Ifft,W,,,,,,,,
Chris Marcus,W,,,,,,,,
Jon Lajoie,W,,,,,,,,
Bas Rutten,W,,,,,,,,
Dana DeArmond,W,,,,,,,,
Kevin Pereira,W,,,,,,,,
Adam Carolla,W,,,,,,,,
Sam Tripoli,W,,,,,,,,
Maz Jobrani,M,,,,,,,,
Giorgio A. Tsoukalos,W,,,,,,,,
Neal Brennan,W,,,,,,,,
Charlie Murphy,B,,,,,,,,
Freeze Love,B,,,,,,,,
Kevin Smith,W,,,,,,,,
Daniel Pinchbeck,J,,,,,,,,
Tim Ferriss,W,,,,,,,,
Anthony Bourdain,J,,,,,,,,
Graham Hancock,W,,,,,,,,
Duncan Trussell,J,,,,,,,,
Josh McDermitt,W,,,,,,,,
Christina Pazsitzky,W,,,,,,,,
Daniele Bolelli,W,,,,,,,,
Shane Smith,W,,,,,,,,
Bruce Lipton,J,,,,,,,,
Ronda Rousey,W,,,,,,,,
Jason Gillearn,W,,,,,,,,
Michael Ruppert,W,,,,,,,,
Everlast,W,,,,,,,,
Peter Joseph,W,,,,,,,,
Dr. Steve Graham,W,,,,,,,,
Hamilton Morris,J,,,,,,,,
Denny Prokopos,W,,,,,,,,
Jason Silva,J,,,,,,,,
DEADMAU5,W,,,,,,,,
Russel Peters,I,,,,,,,,
Amy Schumer,J,,,,,,,,
B-Real,X,,,,,,,,
Greg Fitzsimmons,W,,,,,,,,
,,,,,,,,,
Sam Harris,J,,,,,,,,
Jim Gaffigan,W,,,,,,,,
Matt Paxton,W,,,,,,,,
Dom Irrera,H,,,,,,,,
Jim Jefferies,W,,,,,,,,
“Freeway” Rick Ross,B,,,,,,,,
Andrew Dice,J,,,,,,,,
Max Silverstein,J,,,,,,,,
Chael Sonnen,W,,,,,,,,
Mike Dolce,W,,,,,,,,
Bobcat Goldthwait,W,,,,,,,,
Urijah Faber,W,,,,,,,,
John Anthony West,W,,,,,,,,
Sam Sheridan,W,,,,,,,,
Jim Norton,W,,,,,,,,
Adam Scorgie,W,,,,,,,,
Josh Barnett,W,,,,,,,,
Tommy Chong,X,,,,,,,,
James Bobo Fay,W,,,,,,,,
Justil Halpern,J,,,,,,,,
Immortal Technique,X,,,,,,,,
Robb Wolf,W,,,,,,,,
Tito Ortiz,H,,,,,,,,
Tom Rhodes,W,,,,,,,,
Jamie Kilstein,J,,,,,,,,
Andrew Dice Clay,J,,,,,,,,
Eleanor J. Kerrigan,W,,,,,,,,
Swavey Krokett,X,,,,,,,,
DJ GIJOE,X,,,,,,,,
Mike Birbiglia,W,,,,,,,,
,,,,,,,,,
Rich Roll,W,,,,,,,,
Mac Danzig,W,,,,,,,,
Tait Fletcher,W,,,,,,,,
London Real,W,,,,,,,,
Amber Lyon,J,,,,,,,,
Alex Grey,J,,,,,,,,
Victor Conte,W,,,,,,,,
Philip Coppens,W,,,,,,,,
Peter Duesberg,W,,,,,,,,
Dave Attell,J,,,,,,,,
Daniel H. Wilson,X,,,,,,,,
Les Stroud,W,,,,,,,,
Greg Proops,J,,,,,,,,
John McAfee,W,,,,,,,,
Cara Santa Maria,W,,,,,,,,
Mix Master Mike,X,,,,,,,,
Mark Rasta,X,,,,,,,,
Dennis McKenna,W,,,,,,,,
Christopher Ryan,W,,,,,,,,
Steve Volk,W,,,,,,,,
Adam Hunter,W,,,,,,,,
Neil Degrasse Tyson,B,,,,,,,,
Steve Rinella,W,,,,,,,,
Gregg “Opie” Hughes,W,,,,,,,,
Jimmy Smith,W,,,,,,,,
